Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region_x,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region_y
Taiwan*,462.0,7.0,440.0,15.0,4.0,0.0,0.0,1.52,95.24,1.59,451.0,11.0,2.44,Western Pacific,Asia,23821199.0,477.0,,7.0,,443.0,,27.0,,20.0,0.3,82737.0,3473.0,WesternPacific
Tajikistan,7235.0,60.0,6028.0,1147.0,43.0,1.0,58.0,0.83,83.32,1.0,6921.0,314.0,4.54,Europe,Asia,9557468.0,7665.0,,62.0,,6443.0,,1160.0,,802.0,6.0,,,Europe
Tanzania,509.0,21.0,183.0,305.0,0.0,0.0,0.0,4.13,35.95,11.48,509.0,0.0,0.0,Africa,Africa,59886383.0,509.0,,21.0,,183.0,,305.0,7.0,8.0,0.4,,,Africa
Thailand,3297.0,58.0,3111.0,128.0,6.0,0.0,2.0,1.76,94.36,1.86,3250.0,47.0,1.45,South-East Asia,Asia,69817894.0,3330.0,,58.0,,3148.0,,124.0,1.0,48.0,0.8,749213.0,10731.0,South-EastAsia
Timor-Leste,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,South-East Asia,Asia,1320812.0,25.0,,,,24.0,,1.0,,19.0,,4238.0,3209.0,South-EastAsia
Togo,874.0,18.0,607.0,249.0,6.0,0.0,8.0,2.06,69.45,2.97,783.0,91.0,11.62,Africa,Africa,8296582.0,1012.0,,22.0,,697.0,,293.0,2.0,122.0,3.0,45767.0,5516.0,Africa
Trinidad and Tobago,148.0,8.0,128.0,12.0,1.0,0.0,0.0,5.41,86.49,6.25,137.0,11.0,8.03,Americas,North America,1399950.0,210.0,,8.0,,135.0,,67.0,,150.0,6.0,9559.0,6828.0,Americas
Tunisia,1455.0,50.0,1157.0,248.0,3.0,0.0,15.0,3.44,79.52,4.32,1381.0,74.0,5.36,Eastern Mediterranean,Africa,11830801.0,1642.0,,51.0,,1241.0,,350.0,9.0,139.0,4.0,100298.0,8478.0,EasternMediterranean
Turkey,227019.0,5630.0,210469.0,10920.0,919.0,17.0,982.0,2.48,92.71,2.67,220572.0,6447.0,2.92,Europe,Asia,84428331.0,237265.0,,5798.0,,220546.0,,10921.0,580.0,2810.0,69.0,5081802.0,60191.0,Europe
Turks and Caicos,,,,,,,,,,,,,,,North America,38768.0,129.0,,2.0,,39.0,,88.0,3.0,3327.0,52.0,1252.0,32295.0,
UAE,,,,,,,,,,,,,,,Asia,9902079.0,61845.0,,354.0,,55739.0,,5752.0,,6246.0,36.0,5262658.0,531470.0,EasternMediterranean
US,4290259.0,148011.0,1325804.0,2816444.0,56336.0,1076.0,27941.0,3.45,30.9,11.16,3834677.0,455582.0,11.88,Americas,North America,331198130.0,5032179.0,,162804.0,,2576668.0,,2292707.0,18296.0,15194.0,492.0,63139605.0,190640.0,Americas
Uganda,1128.0,2.0,986.0,140.0,13.0,0.0,4.0,0.18,87.41,0.2,1069.0,59.0,5.52,Africa,Africa,45867852.0,1223.0,,5.0,,1102.0,,116.0,,27.0,0.1,288367.0,6287.0,Africa
Ukraine,67096.0,1636.0,37202.0,28258.0,835.0,11.0,317.0,2.44,55.45,4.4,60767.0,6329.0,10.42,Europe,Europe,43705858.0,76808.0,,1819.0,,42524.0,,32465.0,158.0,1757.0,42.0,1116641.0,25549.0,Europe
United Arab Emirates,59177.0,345.0,52510.0,6322.0,264.0,1.0,328.0,0.58,88.73,0.66,57193.0,1984.0,3.47,Eastern Mediterranean,,,,,,,,,,,,,,,
United Kingdom,301708.0,45844.0,1437.0,254427.0,688.0,7.0,3.0,15.19,0.48,3190.26,296944.0,4764.0,1.6,Europe,Europe,67922029.0,308134.0,,46413.0,,,,,73.0,4537.0,683.0,17515234.0,257873.0,Europe
Uruguay,1202.0,35.0,951.0,216.0,10.0,1.0,3.0,2.91,79.12,3.68,1064.0,138.0,12.97,Americas,South America,3474956.0,1318.0,,37.0,,1079.0,,202.0,2.0,379.0,11.0,126956.0,36535.0,Americas
Uzbekistan,21209.0,121.0,11674.0,9414.0,678.0,5.0,569.0,0.57,55.04,1.04,17149.0,4060.0,23.67,Europe,Asia,33516027.0,28315.0,,175.0,,19291.0,,8849.0,228.0,845.0,5.0,1377915.0,41112.0,Europe
Venezuela,15988.0,146.0,9959.0,5883.0,525.0,4.0,213.0,0.91,62.29,1.47,12334.0,3654.0,29.63,Americas,South America,28427499.0,22299.0,,195.0,,12146.0,,9958.0,42.0,784.0,7.0,1567431.0,55138.0,Americas
Vietnam,431.0,0.0,365.0,66.0,11.0,0.0,0.0,0.0,84.69,0.0,384.0,47.0,12.24,Western Pacific,Asia,97425470.0,747.0,,10.0,,392.0,,345.0,,8.0,0.1,482456.0,4952.0,WesternPacific
